timestamp,gazebo_gui,gazebo_server,bridge_count,action
2026-03-05 15:36:11,True,True,2,none
2026-03-05 15:36:15,True,True,2,none
2026-03-05 15:36:18,True,True,2,none
2026-03-05 15:36:22,True,True,2,none
2026-03-05 15:36:26,True,True,2,none
2026-03-05 15:36:30,True,True,2,none
2026-03-05 15:36:33,True,True,2,none
2026-03-05 15:36:37,True,True,2,none
2026-03-05 15:36:41,True,True,2,none
2026-03-05 15:36:45,True,True,2,none
2026-03-05 15:36:48,True,True,2,none
2026-03-05 15:36:52,True,True,2,none
2026-03-05 15:36:56,True,True,2,none
2026-03-05 15:37:00,True,True,2,none
2026-03-05 15:37:03,True,True,2,none
2026-03-05 15:37:07,True,True,2,none
2026-03-05 15:37:11,True,True,2,none
2026-03-05 15:37:15,True,True,2,none
2026-03-05 15:37:19,True,True,2,none
2026-03-05 15:37:22,True,True,2,none
2026-03-05 15:37:26,True,True,2,none
2026-03-05 15:37:30,True,True,2,none
2026-03-05 15:37:34,True,True,2,none
2026-03-05 15:37:37,True,True,2,none
2026-03-05 15:37:41,True,True,2,none
2026-03-05 15:37:45,True,True,2,none
2026-03-05 15:37:49,True,True,2,none
2026-03-05 15:37:52,True,True,2,none
2026-03-05 15:37:56,True,True,2,none
2026-03-05 15:38:00,True,True,2,none
2026-03-05 15:38:04,True,True,2,none
2026-03-05 15:38:08,True,True,2,none
2026-03-05 15:38:11,True,True,2,none
2026-03-05 15:38:15,True,True,2,none
2026-03-05 15:38:19,True,True,2,none
2026-03-05 15:38:23,True,True,2,none
2026-03-05 15:38:27,True,True,2,none
2026-03-05 15:38:30,True,True,2,none
2026-03-05 15:38:34,True,True,2,none
2026-03-05 15:38:38,True,True,2,none
2026-03-05 15:38:42,True,True,2,none
2026-03-05 15:38:46,True,True,2,none
2026-03-05 15:38:50,True,True,2,none
2026-03-05 15:38:53,True,True,2,none
2026-03-05 15:38:57,True,True,2,none
2026-03-05 15:39:01,True,True,2,none
2026-03-05 15:39:05,True,True,2,none
2026-03-05 15:39:09,True,True,2,none
2026-03-05 15:39:12,True,True,2,none
2026-03-05 15:39:16,True,True,2,none
2026-03-05 15:39:20,True,True,2,none
2026-03-05 15:39:24,True,True,2,none
2026-03-05 15:39:28,True,True,2,none
2026-03-05 15:39:31,True,True,2,none
2026-03-05 15:39:35,True,True,2,none
2026-03-05 15:39:39,True,True,2,none
2026-03-05 15:39:43,True,True,2,none
2026-03-05 15:39:47,True,True,2,none
2026-03-05 15:39:51,True,True,2,none
2026-03-05 15:39:54,True,True,2,none
2026-03-05 15:39:58,True,True,2,none
2026-03-05 15:40:02,True,True,2,none
2026-03-05 15:40:06,True,True,2,none
2026-03-05 15:40:10,True,True,2,none
2026-03-05 15:40:14,True,True,2,none
2026-03-05 15:40:18,True,True,2,none
2026-03-05 15:40:21,True,True,2,none
2026-03-05 15:40:25,True,True,2,none
2026-03-05 15:40:29,True,True,2,none
2026-03-05 15:40:33,True,True,2,none
2026-03-05 15:40:36,True,True,2,none
2026-03-05 15:40:40,True,True,2,none
2026-03-05 15:40:44,True,True,2,none
2026-03-05 15:40:48,True,True,2,none
2026-03-05 15:40:52,True,True,2,none
2026-03-05 15:40:55,True,True,2,none
2026-03-05 15:40:59,True,True,2,none
2026-03-05 15:41:03,True,True,2,none
2026-03-05 15:41:07,True,True,2,none
2026-03-05 15:41:10,True,True,2,none
2026-03-05 15:41:14,True,True,2,none
2026-03-05 15:41:18,True,True,2,none
2026-03-05 15:41:22,True,True,2,none
2026-03-05 15:41:26,True,True,2,none
2026-03-05 15:41:29,True,True,2,none
2026-03-05 15:41:33,True,True,2,none
2026-03-05 15:41:37,True,True,2,none
2026-03-05 15:41:41,True,True,2,none
2026-03-05 15:41:45,True,True,2,none
2026-03-05 15:41:49,True,True,2,none
2026-03-05 15:41:52,True,True,2,none
2026-03-05 15:41:56,True,True,2,none
2026-03-05 15:42:00,True,True,2,none
2026-03-05 15:42:04,True,True,2,none
2026-03-05 15:42:08,True,True,2,none
2026-03-05 15:42:11,True,True,2,none
2026-03-05 15:42:15,True,True,2,none
2026-03-05 15:42:19,True,True,2,none
2026-03-05 15:42:23,True,True,2,none
2026-03-05 15:42:27,True,True,2,none
2026-03-05 15:42:31,True,True,2,none
2026-03-05 15:42:34,True,True,2,none
2026-03-05 15:42:38,True,True,2,none
2026-03-05 15:42:42,True,True,2,none
2026-03-05 15:42:46,True,True,2,none
2026-03-05 15:42:50,True,True,2,none
2026-03-05 15:42:53,True,True,2,none
2026-03-05 15:42:57,True,True,2,none
2026-03-05 15:43:01,True,True,2,none
2026-03-05 15:43:05,True,True,2,none
2026-03-05 15:43:09,True,True,2,none
2026-03-05 15:43:12,True,True,2,none
2026-03-05 15:43:16,True,True,2,none
2026-03-05 15:43:20,True,True,2,none
2026-03-05 15:43:24,True,True,2,none
2026-03-05 15:43:28,True,True,2,none
2026-03-05 15:43:31,True,True,2,none
2026-03-05 15:43:35,True,True,2,none
2026-03-05 15:43:39,True,True,2,none
2026-03-05 15:43:43,True,True,2,none
2026-03-05 15:43:47,True,True,2,none
2026-03-05 15:43:51,True,True,2,none
2026-03-05 15:43:54,True,True,2,none
2026-03-05 15:43:58,True,True,2,none
2026-03-05 15:44:02,True,True,2,none
2026-03-05 15:44:06,True,True,2,none
2026-03-05 15:44:10,True,True,2,none
2026-03-05 15:44:13,True,True,2,none
2026-03-05 15:44:17,True,True,2,none
2026-03-05 15:44:21,True,True,2,none
2026-03-05 15:44:25,True,True,2,none
2026-03-05 15:44:28,True,True,2,none
2026-03-05 15:44:32,True,True,2,none
2026-03-05 15:44:36,True,True,2,none
2026-03-05 15:44:40,True,True,2,none
2026-03-05 15:44:44,True,True,2,none
2026-03-05 15:44:47,True,True,2,none
2026-03-05 15:44:51,True,True,2,none
2026-03-05 15:44:55,True,True,2,none
2026-03-05 15:44:59,True,True,2,none
2026-03-05 15:45:03,True,True,2,none
2026-03-05 15:45:07,True,True,2,none
2026-03-05 15:45:11,True,True,2,none
2026-03-05 15:45:14,True,True,2,none
2026-03-05 15:45:18,True,True,2,none
2026-03-05 15:45:22,True,True,2,none
2026-03-05 15:45:26,True,True,2,none
2026-03-05 15:45:30,True,True,2,none
2026-03-05 15:45:33,True,True,2,none
2026-03-05 15:45:37,True,True,2,none
2026-03-05 15:45:41,True,True,2,none
2026-03-05 15:45:45,True,True,2,none
2026-03-05 15:45:48,True,True,2,none
2026-03-05 15:45:52,True,True,2,none
2026-03-05 15:45:56,True,True,2,none
2026-03-05 15:46:00,True,True,2,none
2026-03-05 15:46:04,True,True,2,none
2026-03-05 15:46:08,True,True,2,none
2026-03-05 15:46:11,True,True,2,none
2026-03-05 15:46:15,True,True,2,none
2026-03-05 15:46:19,True,True,2,none
2026-03-05 15:46:23,True,True,2,none
2026-03-05 15:46:27,True,True,2,none
2026-03-05 15:46:31,True,True,2,none
2026-03-05 15:46:35,True,True,2,none
2026-03-05 15:46:39,True,True,2,none
2026-03-05 15:46:43,True,True,2,none
2026-03-05 15:46:46,True,True,2,none
2026-03-05 15:46:50,True,True,2,none
2026-03-05 15:46:54,True,True,2,none
2026-03-05 15:46:58,True,True,2,none
2026-03-05 15:47:02,True,True,2,none
2026-03-05 15:47:06,True,True,2,none
2026-03-05 15:47:10,True,True,2,none
2026-03-05 15:47:14,True,True,2,none
2026-03-05 15:47:18,True,True,2,none
2026-03-05 15:47:22,True,True,2,none
2026-03-05 15:47:26,True,True,2,none
2026-03-05 15:47:30,True,True,2,none
2026-03-05 15:47:34,True,True,2,none
2026-03-05 15:47:37,True,True,2,none
2026-03-05 15:47:41,True,True,2,none
2026-03-05 15:47:45,True,True,2,none
2026-03-05 15:47:49,True,True,2,none
2026-03-05 15:47:53,True,True,2,none
2026-03-05 15:47:57,True,True,2,none
2026-03-05 15:48:01,True,True,2,none
2026-03-05 15:48:05,True,True,2,none
2026-03-05 15:48:09,True,True,2,none
2026-03-05 15:48:12,True,True,2,none
2026-03-05 15:48:16,True,True,2,none
2026-03-05 15:48:20,True,True,2,none
2026-03-05 15:48:24,True,True,2,none
